c1,c2,c3,c4,c5,c6
Possession of identification plates.,24,1,,,"Every identification plate required by section 21 shall be fixed and maintained in an upright position on the motor vehicle, with the upper edge of the letters and figures upwards."
Possession of identification plates.,24,2,,,No part of any identification plate shall be obscured in any manner.
